FineID,Amount,UserID,IssuedDate,PaymentStatus
1,100.00,7,2020-09-17,"NOT PAID"
2,50.00,7,2019-12-20,"NOT PAID"
3,100.00,8,2019-12-14,"NOT PAID"
4,50.00,23,2020-11-19,"NOT PAID"
5,100.00,49,2021-01-15,"NOT PAID"
6,150.00,5,2020-12-19,"NOT PAID"
7,100.00,18,2021-02-23,"NOT PAID"
8,100.00,5,2020-12-31,"NOT PAID"
9,100.00,35,2021-03-19,"NOT PAID"
10,100.00,28,2020-10-12,PAID
11,150.00,8,2019-12-29,"NOT PAID"
12,100.00,18,2020-09-14,"NOT PAID"
13,100.00,6,2021-01-15,"NOT PAID"
14,150.00,41,2019-08-12,"NOT PAID"
15,100.00,35,2020-06-25,"NOT PAID"
16,50.00,6,2021-02-11,"NOT PAID"
17,100.00,18,2020-04-24,"NOT PAID"
18,100.00,18,2020-12-26,"NOT PAID"
19,150.00,33,2021-03-01,"NOT PAID"
20,50.00,22,2020-12-03,PAID
